SlowInstrKey.keys,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_4.keys,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,key_resp_4.rt,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,0,,0,8,8,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,0,,0,9,9,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,space,415.9313,j,1,1.5253,,1.1865,0,0,0,122,1,The Earth is a star,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,3.9306,,0.728,0,1,1,14,1,An inch cannot always be further divided,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.4665,,0.391,0,2,2,92,1,Dinosaurs are extinct,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,0,3.7381,,0.6174,0,3,3,47,1,The number five can always be further divided,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.3875,,0.3254,0,4,4,88,1,This sentence is written in English,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.6668,,0.23,0,5,5,107,1,A pencil is used to write,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.4666,,0.703,0,6,6,50,1,Turtles need nutrients,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.6662,,1.0134,0,7,7,18,1,Time has an end,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.9251,,0.6378,0,8,8,12,1,An inch cannot go on forever,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.6114,,0.4709,0,9,9,96,1,Fish can swim in the ocean,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,4.3016,,0.6244,0,10,10,67,1,Gravity has a molecular structure,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.9358,,0.3801,0,11,11,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,0,2.5137,,0.2935,0,12,12,39,1,Numbers can always be further divided,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.846,,0.2875,0,13,13,117,1,Dolphins cannot swim in the ocean,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.3499,,0.2408,0,14,14,78,1,Hammers are alive,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.1633,,0.4879,0,15,15,17,1,Time is infinite,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.7376,,0.5044,0,16,16,90,1,A triangle is not an animal,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.7399,,0.4645,0,17,17,41,1,The number five is infinite,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.7495,,0.4666,0,18,18,29,1,Space can go on forever,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.1456,,0.4865,0,19,19,77,1,Saliva has a molecular structure,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.3739,,0.4019,0,20,20,66,1,Music has a molecular structure,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.9774,,2.8374,0,21,21,119,1,A motorcycle is a person,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,0,4.7599,,0.5311,0,22,22,32,1,Numbers are finite,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.8755,,0.6293,0,23,23,111,1,A circle is a flavor,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,3.2114,,0.382,0,24,24,124,1,The president of the United States is Oprah,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,0,4.5533,,0.1896,0,25,25,22,1,Time cannot always be further divided,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.5912,,0.2329,0,26,26,101,1,Jupiter is in our solar system,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.4963,,0.3821,0,27,27,65,1,Shadows are composed of matter,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,0,3.7322,,0.2799,0,28,28,46,1,The number five cannot always be further divided,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,3.6704,,0.3052,0,29,29,114,1,Lightbulbs are made of clay,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.8462,,0.2148,0,30,30,24,1,Space is finite,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.3267,,0.2364,0,31,31,69,1,Bacteria are alive,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.0372,,0.2182,0,32,32,59,1,Comets are alive,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,3.0476,,0.2811,0,33,33,70,1,Grass needs nutrients,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.6875,,0.2923,0,34,34,9,1,An inch is infinite,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.827,,0.4869,0,35,35,71,1,Oaks reproduce,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.803,,0.2513,0,36,36,44,1,The number five cannot go on forever,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.1453,,0.1827,0,37,37,120,1,A truck is an animal,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.5425,,0.2368,0,38,38,102,1,The Earth is a planet,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.2827,,0.4668,0,39,39,52,1,Frogs reproduce,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.0591,space,0.9715,0,40,40,95,1,Yellow is a color,f,2.3494,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.3604,,0.312,0,41,41,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.2058,,0.2192,0,42,42,72,1,Mushrooms reproduce,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.2096,,0.4989,0,43,43,105,1,There are fifty states in the United States,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.1722,,0.1975,0,44,44,91,1,A circle is a shape,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,0,2.1808,,0.2728,0,45,45,15,1,An inch can be always further divided,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.6886,,0.6764,0,46,46,83,1,Songs can be put in a container,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.434,,0.2335,0,47,47,4,1,A minute cannot go on forever,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.5245,,0.5365,0,48,48,108,1,This sentence is written in Spanish,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.1282,,0.5387,0,49,49,19,1,Time is endless,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.184,,0.6606,0,50,50,49,1,Pelicans are alive,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.082,,0.6912,0,51,51,109,1,A square is a color,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,3.4345,,0.5118,0,52,52,7,1,A minute can always be further divided,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.0938,,0.2523,0,53,53,97,1,Dolphins can swim in the ocean,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.3631,,0.2561,0,54,54,56,1,Diamonds have a molecular structure,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.4882,,0.2054,0,55,55,113,1,Magenta is a shape,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,0,2.6253,,0.2447,0,56,56,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.4973,,0.2319,0,57,57,94,1,Orange is a color,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,2.0787,,0.2378,0,58,58,76,1,Pollen has a molecular structure,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.5358,,0.3156,0,59,59,81,1,Tables reproduce,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.1477,,0.149,0,60,60,26,1,Space has an end,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.128,,0.3241,0,61,61,112,1,Dinosaurs are not extinct,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.7929,,0.2681,0,62,62,57,1,Rocks have a molecular structure,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.7398,,0.5549,0,63,63,51,1,Tigers reproduce,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.0038,,0.3174,0,64,64,28,1,Space cannot go on forever,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.5458,,0.4368,0,65,65,58,1,Clocks are alive,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.4895,,0.2398,0,66,66,55,1,Concrete is composed of matter,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.5556,,0.4211,0,67,67,21,1,Time can go on forever,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.7927,,0.9957,0,68,68,87,1,Dreams have a molecular structure,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.7441,,0.5239,0,69,69,89,1,A square is a shape,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.5402,,0.3554,0,70,70,85,1,Thoughts are composed of matter,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,2.6622,,0.5395,0,71,71,80,1,Mittens need nutrients,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.7156,,0.2466,0,72,72,126,1,Humans can breathe water,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.795,,0.4188,0,73,73,11,1,An inch is endless,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.7892,,0.2631,0,74,74,5,1,A minute can go on forever,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,3.3892,,0.4016,0,75,75,20,1,Time cannot go on forever,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,f,1,1.3441,,0.2665,0,76,76,98,1,A clock is used to tell time,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,3.6378,,0.4516,0,77,77,34,1,Numbers have an end,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,0,2.8508,,0.8902,0,78,78,8,1,An inch is finite,f,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.3074,,0.4147,0,79,79,16,1,Time is finite,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,space,,,,,,,,,,j,1,1.2757,,0.268,0,80,80,62,1,Helicopters reproduce,j,,,
,,,,,,,6293,2022-04-06_18h58.56.350,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,,,space,25.9293
