SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_4.keys,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_4.rt,key_resp_5.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4002,,,,f,1,1.4872,,0,35,35,70,1,Grass needs nutrients,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3587,,,,j,1,1.8049,,0,36,36,122,1,The Earth is a star,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.355,,,,f,1,2.3031,,0,37,37,4,1,A minute cannot go on forever,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3766,,,,f,1,2.1171,,0,38,38,71,1,Oaks reproduce,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4344,,,,j,1,1.7702,,0,39,39,26,1,Space has an end,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.9261,,,,j,1,2.6409,space,0,40,40,64,1,Echoes are composed of matter,j,6.4668,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.9873,,,,f,1,1.4678,,0,41,41,49,1,Pelicans are alive,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5831,,,,f,1,2.0001,,0,42,42,74,1,Foam is composed of matter,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3874,,,,f,1,2.5044,,0,43,43,40,1,The number five is finite,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4258,,,,j,1,3.1065,,0,44,44,9,1,An inch is infinite,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3363,,,,f,1,2.4227,,0,45,45,55,1,Concrete is composed of matter,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.307,,,,f,1,1.7389,,0,46,46,17,1,Time is infinite,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3219,,,,j,1,1.943,,0,47,47,108,1,This sentence is written in Spanish,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,1.0545,,,,f,1,3.778,,0,48,48,73,1,Bubbles can be put in a container,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3448,,,,j,1,1.6891,,0,49,49,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3836,,,,f,1,1.8267,,0,50,50,10,1,An inch has an end,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4933,,,,j,1,4.8223,,0,51,51,6,1,A minute cannot always be further divided,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5263,,,,f,1,3.1566,,0,52,52,47,1,The number five can always be further divided,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.5212,,,,f,0,5.0133,,0,53,53,59,1,Comets are alive,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3508,,,,j,1,1.6696,,0,54,54,111,1,A circle is a flavor,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4052,,,,f,1,1.7131,,0,55,55,97,1,Dolphins can swim in the ocean,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4007,,,,j,1,2.2368,,0,56,56,20,1,Time cannot go on forever,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4391,,,,f,1,2.3253,,0,57,57,15,1,An inch can be always further divided,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.367,,,,j,1,2.0612,,0,58,58,120,1,A truck is an animal,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4374,,,,j,1,2.0346,,0,59,59,36,1,Numbers cannot go on forever,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.405,,,,f,1,2.6076,,0,60,60,107,1,A pencil is used to write,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4339,,,,j,1,1.9554,,0,61,61,62,1,Helicopters reproduce,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3806,,,,f,1,1.8661,,0,62,62,76,1,Pollen has a molecular structure,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.2841,,,,f,1,1.7352,,0,63,63,96,1,Fish can swim in the ocean,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3543,,,,j,1,1.9624,,0,64,64,60,1,Robots need nutrients,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3512,,,,j,1,1.6045,,0,65,65,18,1,Time has an end,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3245,,,,j,1,1.6802,,0,66,66,110,1,A triangle is an animal,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3334,,,,f,1,1.5061,,0,67,67,90,1,A triangle is not an animal,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4365,,,,j,1,8.1169,,0,68,68,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4353,,,,f,1,3.2069,,0,69,69,53,1,Bricks can be put in a container,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3506,,,,f,1,2.3863,,0,70,70,75,1,Frost is composed of matter,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3841,,,,j,1,2.9043,,0,71,71,1,1,A minute is infinite,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.2508,,,,f,1,1.2676,,0,72,72,100,1,A truck is a vehicle,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3172,,,,j,1,1.7016,,0,73,73,114,1,Lightbulbs are made of clay,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4542,,,,f,1,1.7033,,0,74,74,29,1,Space can go on forever,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3896,,,,j,1,2.7936,,0,75,75,65,1,Shadows are composed of matter,j,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.57,,,,f,1,1.4902,,0,76,76,48,1,Crocodiles are alive,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3506,,,,f,1,1.5111,,0,77,77,95,1,Yellow is a color,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3284,,,,f,1,1.5019,,0,78,78,51,1,Tigers reproduce,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.3095,,,,f,1,1.5501,,0,79,79,98,1,A clock is used to tell time,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,space,,,,,,,,0.4257,,,,f,1,2.8591,,0,80,80,106,1,Humans cannot breathe water,f,,,
,,,,,,,,5624,2022-04-06_19h16.24.790,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.2177
