SlowInstrKey.keys,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,SlowInstrKey.rt,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.137,,,j,1,1.251,,0,33,33,113,1,Magenta is a shape,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.221,,,j,1,1.267,,0,34,34,126,1,Humans can breathe water,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,1.639,,,j,1,0.5,,0,35,35,83,1,Songs can be put in a container,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.216,,,f,1,2.027,,0,36,36,52,1,Frogs reproduce,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.187,,,f,1,2.023,,0,37,37,44,1,The number five cannot go on forever,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.139,,,j,1,1.17,,0,38,38,41,1,The number five is infinite,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.164,,,f,1,2.576,,0,39,39,90,1,A triangle is not an animal,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,1.678,,,f,0,1.923,space,0,40,40,22,1,Time cannot always be further divided,j,0.918,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.243,,,f,1,1.684,,0,41,41,33,1,Numbers are infinite,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.253,,,f,1,1.136,,0,42,42,49,1,Pelicans are alive,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.152,,,j,1,2.343,,0,43,43,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.157,,,j,1,1.868,,0,44,44,36,1,Numbers cannot go on forever,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.373,,,f,1,2.436,,0,45,45,4,1,A minute cannot go on forever,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.252,,,f,1,1.026,,0,46,46,94,1,Orange is a color,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.361,,,j,0,2.152,,0,47,47,47,1,The number five can always be further divided,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.217,,,f,1,1.501,,0,48,48,17,1,Time is infinite,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.179,,,j,1,1.41,,0,49,49,109,1,A square is a color,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.284,,,j,1,3.838,,0,50,50,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.141,,,j,1,2.187,,0,51,51,62,1,Helicopters reproduce,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.156,,,j,0,2.071,,0,52,52,72,1,Mushrooms reproduce,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.158,,,f,1,2.057,,0,53,53,31,1,Space can always be further divided,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.12,,,j,1,1.139,,0,54,54,81,1,Tables reproduce,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.135,,,j,1,1.97,,0,55,55,108,1,This sentence is written in Spanish,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.311,,,f,1,1.287,,0,56,56,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.308,,,j,1,1.719,,0,57,57,14,1,An inch cannot always be further divided,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.156,,,j,1,1.661,,0,58,58,115,1,Yellow is an animal,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.277,,,f,1,0.82,,0,59,59,95,1,Yellow is a color,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.203,,,f,1,3.868,,0,60,60,70,1,Grass needs nutrients,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.084,,,f,1,1.217,,0,61,61,35,1,Numbers are endless,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.318,,,j,1,1.084,,0,62,62,3,1,A minute is endless,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.921,,,j,1,1.085,,0,63,63,122,1,The Earth is a star,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.239,,,f,1,1.739,,0,64,64,68,1,Algae is alive,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.254,,,j,0,1.241,,0,65,65,71,1,Oaks reproduce,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.341,,,j,1,2.247,,0,66,66,80,1,Mittens need nutrients,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.301,,,j,1,1.57,,0,67,67,86,1,Words have a molecular structure,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.219,,,f,1,1.482,,0,68,68,76,1,Pollen has a molecular structure,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.16,,,f,1,1.501,,0,69,69,12,1,An inch cannot go on forever,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.123,,,f,1,0.821,,0,70,70,25,1,Space is infinite,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.153,,,j,1,0.877,,0,71,71,123,1,Mississippi is a country,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.653,,,f,1,3.389,,0,72,72,88,1,This sentence is written in English,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.234,,,j,1,1.857,,0,73,73,125,1,There are ninty states in the United States,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.273,,,f,1,1.222,,0,74,74,69,1,Bacteria are alive,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.192,,,j,1,0.909,,0,75,75,24,1,Space is finite,j,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.19,,,f,1,0.973,,0,76,76,102,1,The Earth is a planet,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.157,,,f,1,1.836,,0,77,77,57,1,Rocks have a molecular structure,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.233,,,f,1,3.409,,0,78,78,39,1,Numbers can always be further divided,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,0.215,,,f,1,2.226,,0,79,79,97,1,Dolphins can swim in the ocean,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,space,,,,,,,,1.493,,,j,0,1.235,,0,80,80,42,1,The number five has an end,f,,,
,,,,,,,9982,2022-04-06_18h58.57.247,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.066
