SlowInstrKey.keys,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_4.keys,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,0,,0,6,6,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,0,space,0,7,7,0,1,A circle is a shape,f,0.9273,,,,,,,,,,,,,,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,0,space,0,8,8,9,1,Humans cannot eat food,j,1.1316,,,,,,,,,,,,,,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,0,space,0,9,9,3,1,A clock is used to tell time,f,1.0246,,,,,,,,,,,,,,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.8236,space,13.0912,j,1,1.7255,,0,0,0,5,1,A minute can go on forever,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.7093,,,j,1,2.1142,,0,1,1,82,1,Stones reproduce,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.4967,,,f,1,1.2694,,0,2,2,94,1,Orange is a color,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,1.0406,,,j,1,2.4273,,0,3,3,36,1,Numbers cannot go on forever,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.5215,,,f,1,1.8192,,0,4,4,29,1,Space can go on forever,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.3579,,,j,1,2.0679,,0,5,5,118,1,A horse is used to tell time,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2735,,,f,1,1.6764,,0,6,6,69,1,Bacteria are alive,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.226,,,j,1,1.8978,,0,7,7,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.4443,,,f,1,3.7549,,0,8,8,90,1,A triangle is not an animal,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.212,,,j,1,1.292,,0,9,9,59,1,Comets are alive,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2101,,,f,1,1.5198,,0,10,10,88,1,This sentence is written in English,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.197,,,j,1,1.6224,,0,11,11,120,1,A truck is an animal,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1798,,,j,1,2.13,,0,12,12,65,1,Shadows are composed of matter,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1798,,,j,1,1.7879,,0,13,13,111,1,A circle is a flavor,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2095,,,j,1,2.4966,,0,14,14,113,1,Magenta is a shape,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.3195,,,j,0,5.6781,,0,15,15,73,1,Bubbles can be put in a container,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2601,,,f,1,4.1608,,0,16,16,47,1,The number five can always be further divided,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1933,,,f,1,2.7545,,0,17,17,0,1,A minute is finite,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1648,,,j,1,1.6586,,0,18,18,119,1,A motorcycle is a person,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.213,,,f,1,1.9939,,0,19,19,106,1,Humans cannot breathe water,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2297,,,f,1,1.5673,,0,20,20,2,1,A minute has an end,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2134,,,j,1,1.4114,,0,21,21,11,1,An inch is endless,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2152,,,f,1,1.4587,,0,22,22,107,1,A pencil is used to write,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1949,,,f,1,1.6159,,0,23,23,52,1,Frogs reproduce,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.3666,,,j,1,2.5676,,0,24,24,28,1,Space cannot go on forever,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1674,,,j,1,1.9447,,0,25,25,1,1,A minute is infinite,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1947,,,f,1,1.3696,,0,26,26,98,1,A clock is used to tell time,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1442,,,j,1,2.6627,,0,27,27,67,1,Gravity has a molecular structure,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2273,,,j,1,3.6007,,0,28,28,14,1,An inch cannot always be further divided,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2403,,,j,1,1.7932,,0,29,29,127,1,A zebra is used to write,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2246,,,j,1,2.8179,,0,30,30,18,1,Time has an end,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1338,,,j,1,2.38,,0,31,31,116,1,Fish cannot swim in the ocean,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2273,,,f,1,2.0992,,0,32,32,57,1,Rocks have a molecular structure,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1775,,,j,1,1.2081,,0,33,33,60,1,Robots need nutrients,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1957,,,f,1,1.3507,,0,34,34,49,1,Pelicans are alive,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1949,,,j,1,1.6159,,0,35,35,117,1,Dolphins cannot swim in the ocean,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2412,,,f,1,1.3659,,0,36,36,93,1,Magenta is a color,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,1.4128,,,f,1,2.0829,,0,37,37,39,1,Numbers can always be further divided,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1493,,,j,1,2.5066,,0,38,38,46,1,The number five cannot always be further divided,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.209,,,f,1,2.2385,,0,39,39,15,1,An inch can be always further divided,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.956,,,j,1,1.6935,space,0,40,40,126,1,Humans can breathe water,j,1.3887,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2307,,,f,1,1.944,,0,41,41,17,1,Time is infinite,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.3825,,,j,1,2.3796,,0,42,42,34,1,Numbers have an end,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2087,,,f,1,0.974,,0,43,43,48,1,Crocodiles are alive,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1937,,,f,1,1.7254,,0,44,44,91,1,A circle is a shape,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2247,,,j,1,2.0991,,0,45,45,85,1,Thoughts are composed of matter,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2707,,,j,1,2.1942,,0,46,46,26,1,Space has an end,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2771,,,j,1,2.1456,,0,47,47,43,1,The number five is endless,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.6333,,,j,1,3.006,,0,48,48,112,1,Dinosaurs are not extinct,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2412,,,f,1,2.4914,,0,49,49,53,1,Bricks can be put in a container,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2581,,,f,1,1.8538,,0,50,50,21,1,Time can go on forever,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.184,,,f,1,2.2721,,0,51,51,44,1,The number five cannot go on forever,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2158,,,j,1,1.8484,,0,52,52,108,1,This sentence is written in Spanish,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1937,,,f,1,1.6002,,0,53,53,97,1,Dolphins can swim in the ocean,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2739,,,f,0,1.5871,,0,54,54,16,1,Time is finite,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2098,,,f,1,3.4716,,0,55,55,23,1,Time can always be further divided,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1613,,,j,1,2.2716,,0,56,56,80,1,Mittens need nutrients,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1947,,,f,1,1.2755,,0,57,57,95,1,Yellow is a color,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1774,,,f,1,2.2456,,0,58,58,75,1,Frost is composed of matter,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.197,,,f,1,1.0725,,0,59,59,89,1,A square is a shape,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1778,,,j,1,1.072,,0,60,60,109,1,A square is a color,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1798,,,j,1,2.0192,,0,61,61,125,1,There are ninty states in the United States,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.195,,,f,1,1.7902,,0,62,62,19,1,Time is endless,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1803,,,f,1,1.23,,0,63,63,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1781,,,j,1,1.4795,,0,64,64,13,1,An inch can go on forever,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1771,,,f,1,1.2259,,0,65,65,105,1,There are fifty states in the United States,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1962,,,f,1,2.6602,,0,66,66,56,1,Diamonds have a molecular structure,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1314,,,j,1,1.4486,,0,67,67,63,1,Color can be put in a container,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1624,,,j,1,2.9905,,0,68,68,84,1,Silence is composed of matter,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1163,,,j,1,1.4904,,0,69,69,66,1,Music has a molecular structure,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1671,,,j,1,2.1322,,0,70,70,9,1,An inch is infinite,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1006,,,j,1,1.49,,0,71,71,87,1,Dreams have a molecular structure,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1816,,,j,1,2.4605,,0,72,72,41,1,The number five is infinite,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.241,,,f,1,4.9118,,0,73,73,50,1,Turtles need nutrients,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1465,,,j,1,2.4108,,0,74,74,79,1,Forks are alive,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1997,,,f,1,1.7737,,0,75,75,33,1,Numbers are infinite,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2251,,,j,1,1.5368,,0,76,76,81,1,Tables reproduce,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1956,,,f,1,1.6307,,0,77,77,35,1,Numbers are endless,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.2238,,,j,1,1.3553,,0,78,78,122,1,The Earth is a star,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.152,,,j,1,1.8458,,0,79,79,62,1,Helicopters reproduce,j,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,space,,,,,,,,0.1934,,,j,0,1.5704,,0,80,80,72,1,Mushrooms reproduce,f,,,
,,,,,,,8484,2022-04-06_16h35.21.516,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,64,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.6765
