SlowInstructions,practicetext,practicecorrect,Statement,Correct,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,FixcrossPractice.started,FixcrossPractice.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,PracticeEndText.started,PracticeEndText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon.started,polygon.stopped,SlowText.started,SlowText.stopped,SlowKey.keys,SlowKey.corr,SlowKey.rt,SlowKey.started,SlowKey.stopped,encouragetext.started,encouragetext.stopped,encouragekey.keys,encouragekey.started,encouragekey.stopped,encouragekey.rt,participant,date,expName,psychopyVersion,frameRate,
,,,Stones reproduce,j,,,,,,,,,0,30,30,106,,,,,,,,,,,,,,,,139.92455829298706,None,space,0.12879457502276637,139.92455829298706,None,,,,,,,138.5244528070034,138.9253574750037,139.0085968140047,None,f,0,0.3840740890009329,139.50828609301243,None,139.92519728880143,None,None,139.92519728880143,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A minute is finite,f,,,,,,,,,0,31,31,0,,,,,,,,,,,,,,,,141.57542764701066,None,space,0.6065949449839536,141.57542764701066,None,,,,,,,140.07449389400426,140.4753790019895,140.55863960200804,None,f,1,0.48400025800219737,141.0582855679968,None,141.57489333179547,None,None,141.57489333179547,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Saliva has a molecular structure,f,,,,,,,,,0,32,32,101,,,,,,,,,,,,,,,,143.72568913100986,None,space,0.11722694800118916,143.72568913100986,None,,,,,,,142.2073631369858,142.60856872898876,142.69252891500946,None,f,1,0.5030049229972064,143.19216459000017,None,143.72401719380287,None,None,143.72401719380287,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Thoughts are composed of matter,j,,,,,,,,,0,33,33,109,,,,,,,,,,,,,,,,145.34245274899877,None,space,0.14355896299821325,145.34245274899877,None,,,,,,,143.8915996249998,144.29084949399112,144.3741663559922,None,j,1,0.44621212099445984,144.87587784198695,None,145.34182399880956,None,None,145.34182399880956,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,The Earth is a planet,f,,,,,,,,,0,34,34,126,,,,,,,,,,,,,,,,147.00888149198727,None,space,0.16281857900321484,147.00888149198727,None,,,,,,,145.50884850500734,145.90903578599682,145.99210513199796,None,f,1,0.48524581899982877,146.49270271800924,None,147.00869695079746,None,None,147.00869695079746,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A pencil is used to write,f,,,,,,,,,0,35,35,131,,,,,,,,,,,,,,,,149.5427907060075,None,space,0.17780027800472453,149.5427907060075,None,,,,,,,147.19100963301025,147.5908165530127,147.67541788500967,None,f,1,1.3383418390003499,148.17564480099827,None,149.5418189727934,None,None,149.5418189727934,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Five can be further divided,f,,,,,,,,,0,36,36,71,,,,,,,,,,,,,,,,152.47597969998606,None,space,0.1434681249957066,152.47597969998606,None,,,,,,,149.74252346000867,150.14276826899732,150.22575068401056,None,f,1,1.7254835719941184,150.7261526020011,None,152.47504236278473,None,None,152.47504236278473,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,An inch is endless,j,,,,,,,,,0,37,37,11,,,,,,,,,,,,,,,,155.64238177100196,None,space,0.10306976499850862,155.64238177100196,None,,,,,,,152.64260542398551,153.0419954060053,153.12595678199432,None,j,1,1.996323052997468,153.62509827900794,None,155.64205324978684,None,None,155.64205324978684,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Numbers have an end,j,,,,,,,,,0,38,38,58,,,,,,,,,,,,,,,,159.57490555400727,None,space,0.11808362099691294,159.57490555400727,None,,,,,,,155.77503696401254,156.1759668040031,156.25938937600586,None,j,1,2.79025512500084,156.75990651600296,None,159.57515991679975,None,None,159.57515991679975,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Numbers can go on forever,f,,,,,,,,,0,39,39,61,,,,,,,,,,,,,,,,161.64264587400248,None,space,0.17934620199957862,161.64264587400248,None,,,,,,,159.7257139699941,160.12595133698778,160.2256522430107,None,f,1,0.8959579369984567,160.72524517698912,None,161.64176097579184,None,None,161.64176097579184,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Shadows are composed of matter,j,,,,,,,,,0,40,40,89,,,,,,,,,,,,,,,,163.79225756198866,None,space,0.1327806769986637,163.79225756198866,None,,,,,,,161.84358790901024,162.25871434999863,162.32687775598606,None,j,1,0.9368302660004701,162.82715989500866,None,163.79188222979428,None,None,163.79188222979428,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Intervals of time can go on forever,f,,,,,,,,,0,41,41,21,,,,,,,,,,,,,,,,165.67630580998957,None,space,0.10749433198361658,165.67630580998957,None,,,,,,,163.94255971800885,164.34366385699832,164.42712679700344,None,f,1,0.722086018009577,164.92570407799212,None,165.6756880597968,None,None,165.6756880597968,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A motorcycle is a person,j,,,,,,,,,0,42,42,143,,,,,,,,,,,,,,,,167.89330335799605,None,space,0.0753798329969868,167.89330335799605,None,,,,,,,165.82703685300658,166.22602629000903,166.30944847798673,None,j,1,1.050761632999638,166.8098916420131,None,167.8919200648088,None,None,167.8919200648088,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A square is a shape,f,,,,,,,,,0,43,43,113,,,,,,,,,,,,,,,,169.35911661200225,None,space,0.17327831900911406,169.35911661200225,None,,,,,,,168.01020362900454,168.42618636699626,168.49280349101173,None,f,1,0.34734911800478585,168.99212292500306,None,169.35894063379965,None,None,169.35894063379965,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A square is a color,j,,,,,,,,,0,44,44,133,,,,,,,,,,,,,,,,170.99270515798707,None,space,0.12076634401455522,170.99270515798707,None,,,,,,,169.5776253269869,169.99232797601144,170.05922488498618,None,j,1,0.4161680919933133,170.5594021959987,None,170.99282317078905,None,None,170.99282317078905,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Time is finite,j,,,,,,,,,0,45,45,40,,,,,,,,,,,,,,,,172.54355125399888,None,space,0.1504193410219159,172.54355125399888,None,,,,,,,171.1591105189873,171.55965074300184,171.62594979800633,None,j,1,0.3957542060234118,172.12769016600214,None,172.5432499978051,None,None,172.5432499978051,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,Intervals of time can be endless,f,,,,,,,,,0,46,46,19,,,,,,,,,,,,,,,,174.47742455199477,None,space,0.21768045000499114,174.47742455199477,None,,,,,,,172.71032801800175,173.1101083639951,173.19419849099359,None,f,1,0.7561455279937945,173.6941499579989,None,174.47643276379677,None,None,174.47643276379677,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
,,,A minute has an end,f,,,,,,,,,0,47,47,2,,,,,,,,,,,,,,,,176.64414752199082,None,space,0.32977224001660943,176.64414752199082,None,,,,,,,174.7436920730106,175.1440194839961,175.22765131198685,None,f,1,0.8948084629955702,175.72742718699737,None,176.64277419279097,None,None,176.64277419279097,None,,215450,2022_Feb_16_1650,Scientific and Linguistic Understanding,2021.2.3,59.850982067831815,
