SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4837,,,,,,,,,,f,1,1.456,,0,28,28,107,1,A pencil is used to write,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5091,,,,,,,,,,f,1,1.4344,,0,29,29,68,1,Algae is alive,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.2976,,,,,,,,,,j,1,1.3267,,0,30,30,119,1,A motorcycle is a person,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4885,,,,,,,,,,j,1,1.9236,,0,31,31,80,1,Mittens need nutrients,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.2317,,,,,,,,,,j,1,1.6563,,0,32,32,116,1,Fish cannot swim in the ocean,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7713,,,,,,,,,,j,1,2.0199,,0,33,33,122,1,The Earth is a star,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5882,,,,,,,,,,j,0,2.7464,,0,34,34,96,1,Fish can swim in the ocean,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7024,,,,,,,,,,j,1,2.251,,0,35,35,24,1,Space is finite,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5346,,,,,,,,,,f,1,2.8394,,0,36,36,100,1,A truck is a vehicle,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4252,,,,,,,,,,j,1,1.1433,,0,37,37,82,1,Stones reproduce,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7736,,,,,,,,,,j,1,3.005,,0,38,38,1,1,A minute is infinite,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.3042,,,,,,,,,,f,1,1.4348,,0,39,39,19,1,Time is endless,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.1183,,,,,,,,,,j,1,1.0996,space,0,40,40,62,1,Helicopters reproduce,j,0.1984
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.7472,,,,,,,,,,j,1,1.844,,0,41,41,118,1,A horse is used to tell time,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,3.2084,,,,,,,,,,f,1,1.0443,,0,42,42,95,1,Yellow is a color,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.6853,,,,,,,,,,j,1,2.4605,,0,43,43,117,1,Dolphins cannot swim in the ocean,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4333,,,,,,,,,,f,1,0.9321,,0,44,44,94,1,Orange is a color,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.469,,,,,,,,,,j,0,1.2368,,0,45,45,106,1,Humans cannot breathe water,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5055,,,,,,,,,,j,1,1.8757,,0,46,46,81,1,Tables reproduce,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.3007,,,,,,,,,,f,1,1.5487,,0,47,47,15,1,An inch can be always further divided,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4618,,,,,,,,,,f,1,1.0465,,0,48,48,48,1,Crocodiles are alive,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.8614,,,,,,,,,,f,0,3.6625,,0,49,49,66,1,Music has a molecular structure,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4972,,,,,,,,,,f,1,1.168,,0,50,50,17,1,Time is infinite,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4773,,,,,,,,,,f,1,1.7173,,0,51,51,37,1,Numbers can go on forever,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5012,,,,,,,,,,j,1,1.4568,,0,52,52,18,1,Time has an end,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5575,,,,,,,,,,j,1,2.2002,,0,53,53,11,1,An inch is endless,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5059,,,,,,,,,,j,1,1.6767,,0,54,54,60,1,Robots need nutrients,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.6218,,,,,,,,,,f,1,2.3166,,0,55,55,57,1,Rocks have a molecular structure,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.6443,,,,,,,,,,j,1,2.5545,,0,56,56,85,1,Thoughts are composed of matter,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5009,,,,,,,,,,f,1,1.1517,,0,57,57,102,1,The Earth is a planet,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.342,,,,,,,,,,j,1,1.507,,0,58,58,111,1,A circle is a flavor,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4459,,,,,,,,,,f,1,1.1994,,0,59,59,33,1,Numbers are infinite,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5044,,,,,,,,,,f,1,1.0417,,0,60,60,98,1,A clock is used to tell time,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.3254,,,,,,,,,,j,1,1.322,,0,61,61,127,1,A zebra is used to write,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.8822,,,,,,,,,,j,0,2.317,,0,62,62,47,1,The number five can always be further divided,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,1.5417,,,,,,,,,,f,0,1.1386,,0,63,63,123,1,Mississippi is a country,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4404,,,,,,,,,,j,1,2.1074,,0,64,64,46,1,The number five cannot always be further divided,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5511,,,,,,,,,,j,1,1.7401,,0,65,65,121,1,Jupiter is the planet we live on,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4644,,,,,,,,,,j,1,1.351,,0,66,66,59,1,Comets are alive,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.539,,,,,,,,,,f,1,3.3778,,0,67,67,99,1,A motorcycle is a vehicle,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5683,,,,,,,,,,f,1,2.5378,,0,68,68,74,1,Foam is composed of matter,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.295,,,,,,,,,,j,1,1.5252,,0,69,69,41,1,The number five is infinite,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5246,,,,,,,,,,f,1,1.3125,,0,70,70,69,1,Bacteria are alive,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.6915,,,,,,,,,,f,1,1.438,,0,71,71,91,1,A circle is a shape,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5003,,,,,,,,,,f,1,1.4222,,0,72,72,71,1,Oaks reproduce,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5065,,,,,,,,,,f,1,1.926,,0,73,73,42,1,The number five has an end,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5879,,,,,,,,,,j,1,2.3295,,0,74,74,84,1,Silence is composed of matter,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.3207,,,,,,,,,,j,1,1.0985,,0,75,75,79,1,Forks are alive,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4021,,,,,,,,,,j,1,1.336,,0,76,76,13,1,An inch can go on forever,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.4111,,,,,,,,,,j,1,1.1282,,0,77,77,5,1,A minute can go on forever,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.5738,,,,,,,,,,f,1,3.2169,,0,78,78,72,1,Mushrooms reproduce,f,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.8566,,,,,,,,,,j,1,3.3082,,0,79,79,63,1,Color can be put in a container,j,
,,,,,,,,6506,2022-04-06_16h21.25,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.98080614,,,,space,0.6224,,,,,,,,,,f,1,2.7148,,0,80,80,88,1,This sentence is written in English,f,
